0, -104.0, -10.0, 85.0, 83.0
1, 133.0, 12.0, 68.0, 64.0
2, 147.0, -6.0, 88.0, 87.0
3, 30.0, 24.0, 70.0, 63.0
4, 51.0, -11.0, 54.0, 58.0
5, 187.0, 5.0, 62.0, 77.0
6, -114.0, 29.0, 73.0, 94.0
7, 69.0, 5.0, 73.0, 91.0
8, -91.0, 12.0, 64.0, 64.0
9, -117.0, -12.0, 64.0, 66.0
10, -82.0, -12.0, 58.0, 58.0
11, -150.0, 7.0, 52.0, 76.0
12, -94.0, 10.0, 67.0, 74.0
13, 185.0, -3.0, 69.0, 61.0
14, -90.0, 16.0, 56.0, 58.0
15, 46.0, -15.0, 75.0, 59.0
16, -84.0, 20.0, 53.0, 67.0
17, 97.0, 0.0, 67.0, 95.0
18, -109.0, -12.0, 64.0, 71.0
19, 59.0, 5.0, 69.0, 68.0
20, 0.0, 3.0, 67.0, 80.0
21, -222.0, -1.0, 88.0, 57.0
22, 177.0, 8.0, 58.0, 57.0
23, -73.0, -6.0, 76.0, 65.0
24, 62.0, 12.0, 65.0, 83.0
25, -21.0, 4.0, 70.0, 76.0
26, -1.0, -3.0, 61.0, 82.0
27, 205.0, 10.0, 71.0, 54.0
28, 140.0, -12.0, 54.0, 83.0
29, -323.0, 10.0, 51.0, 73.0
30, 90.0, 15.0, 62.0, 84.0
31, -109.0, -9.0, 56.0, 67.0
32, 165.0, -7.0, 65.0, 75.0
33, -204.0, 1.0, 79.0, 58.0
34, -107.0, -15.0, 49.0, 58.0
35, 86.0, -20.0, 69.0, 97.0
36, -15.0, -12.0, 81.0, 77.0
37, -94.0, 21.0, 67.0, 62.0
38, -95.0, -7.0, 57.0, 70.0
39, -64.0, 30.0, 75.0, 58.0
40, -185.0, -3.0, 66.0, 75.0
41, -29.0, 20.0, 70.0, 64.0
42, -86.0, 26.0, 78.0, 59.0
43, 40.0, 3.0, 48.0, 77.0
44, 83.0, -7.0, 82.0, 63.0
45, 6.0, 3.0, 68.0, 77.0
46, 44.0, -13.0, 57.0, 68.0
47, 61.0, 13.0, 88.0, 91.0
48, -56.0, 12.0, 58.0, 84.0
49, -32.0, 0.0, 70.0, 73.0
50, 77.0, 0.0, 81.0, 71.0
51, 140.0, 6.0, 60.0, 89.0
52, 79.0, -13.0, 77.0, 65.0
53, 62.0, 24.0, 85.0, 75.0
54, -38.0, 0.0, 82.0, 59.0
55, -11.0, -3.0, 77.0, 65.0
56, -49.0, 11.0, 68.0, 53.0
57, 13.0, 7.0, 64.0, 64.0
58, 87.0, 0.0, 40.0, 59.0
59, -148.0, 16.0, 83.0, 64.0
60, -7.0, -1.0, 77.0, 62.0
61, 14.0, 5.0, 64.0, 71.0
62, -24.0, 20.0, 85.0, 55.0
63, -200.0, 10.0, 64.0, 65.0
64, 95.0, 17.0, 50.0, 70.0
65, 27.0, 3.0, 76.0, 73.0
66, -207.0, -1.0, 82.0, 70.0
67, 94.0, 0.0, 50.0, 63.0
68, 168.0, 5.0, 70.0, 86.0
69, -30.0, 0.0, 70.0, 80.0
70, -111.0, 2.0, 62.0, 62.0
71, -95.0, 3.0, 84.0, 67.0
72, 49.0, 7.0, 61.0, 58.0
73, -43.0, 8.0, 90.0, 82.0
74, -105.0, -7.0, 50.0, 72.0
75, -126.0, -6.0, 63.0, 73.0
